species,First Recorded Occurence (Ma),Last Recorded Occurence (Ma),First Recorded Occurence Date(s) (Ma) and Reference(s),Last Recorded Occurence Date(s) (Ma) and Reference(s),Ancestor,Morphogroup,Morphogroup Reference,Ecogroup(s),Ecogroup Reference(s),Type
Subbotina triangularis,62.52,55.1,Olsson et al. (1999) = 62.52,Olsson et al. (1999) = 55.10,Subbotina trivialis,2,Olsson et al. (1999),2,"D’Hondt et al. (1994), Coxall et al. (2000)",Macro
Subbotina triloculinoides,65.64,57.78,Datum B Subbotina triloculinoides of Huber and Quillévéré (2005) = 65.64,Datum T Subbotina triloculinoides of Berggren et al. (2000) = 57.78,Subbotina trivialis,2,Olsson et al. (1999),3,"Berggren and Norris (1997), Coxall et al. (2000)",Macro
Subbotina trivialis,65.94,62.52,Olsson et al. (1999) = 65.94,Olsson et al. (1999) = 62.52,Eoglobigerina eobulloides,2,Olsson et al. (1999),3,Coxall et al. (2000),Macro
Subbotina utilisindex,39,29.84,Wade et al. (2018b) = 39.00,Wade et al. (2018b) = 29.84,Subbotina linaperta,2,Olsson et al. (1999),4,"Poore and Matthews (1984), Coxall et al. (2000), Wade and Kroon (2002)",Macro
Subbotina velascoensis,60.74,55.02,Datum B Subbotina velascoensis of Berggren et al. (2000) = 60.74,Datum T Subbotina velascoensis of TimeScale Creator (2020) = 55.02,Subbotina cancellata,2,Olsson et al. (1999),3,"Berggren and Norris (1997), Coxall et al. (2000)",Macro
Subbotina yeguaensis,50.38,33.94,Olsson et al. (2006b) = 50.38,Olsson et al. (2006b) = 33.94,Subbotina roesnaesensis,2,Olsson et al. (1999),4,"Boersma et al. (1987), Coxall et al. (2000)",Macro
Trilobatus altospiralis,21.82,7.62,Spezzaferri et al. (2018c) = 21.82,Spezzaferri et al. (2018c) = 7.62,Trilobatus primordius,3,Spezzaferri et al. (2018c),1,No data,Macro
Trilobatus bisphericus,17.94,15.6,Pearson and Chaisson (1997) = 17.94,Pearson and Chaisson (1997) = 15.60,Trilobatus trilobus,3,Bolli and Saunders (1985),1,"Keller (1985), Pearson and Shackleton (1995)",Macro
Trilobatus immaturus,23,Living,Spezzaferri et al. (2018c) = 23.00,Spezzaferri et al. (2018c) = 0.00,Trilobatus primordius,3,Spezzaferri et al. (2018c),1,Nikolaev et al. (1998),Macro
Trilobatus praeimmaturus,21.64,15.98,Spezzaferri et al. (2018c) = 21.64,Spezzaferri et al. (2018c) = 15.98,Trilobatus immaturus,3,Spezzaferri et al. (2018c),1,No data,Macro
Trilobatus primordius,26.12,17.47,Datum B Trilobatus primordius of TimeScale Creator (2020) = 26.12,Spezzaferri et al. (2018c) = 20.91. Last recorded occurence date extension Spezzaferri et al. (2018c) = 17.47,Globoturborotalita paracancellata,3,Kennett and Srinivasan (1983),1,"Poore and Matthews (1984), Keller (1985), Pearson et al. (1997b), Pearson and Wade (2009), Liebrand et al. (2024)",Macro
Trilobatus quadrilobatus,23.01,13.8,Spezzaferri et al. (2018c) = 23.01,Spezzaferri et al. (2018c) = 13.80,Trilobatus primordius,3,Spezzaferri et al. (2018c),1,Nikolaev et al. (1998),Macro
Trilobatus sacculifer,11.11,Living,Chaisson and Pearson (1997) = 11.11,Chaisson and Pearson (1997) = 0.00,Trilobatus subsacculifer,3,Kennett and Srinivasan (1983),1,"Keller (1985), Schiebel and Hemleben (2017), Rebotim et al. (2017)",Macro
Trilobatus sicanus,16.39,14.53,Datum B Trilobatus sicanus of Raffi et al. (2020) = 16.39,Datum T Trilobatus sicanus of TimeScale Creator (2020) = 14.53,Trilobatus bisphericus,4,Kennett and Srinivasan (1983),1,Pearson et al. (1997b),Macro
Trilobatus subsacculifer,22.26,8.1,Spezzaferri et al. (2018c) = 22.26,Spezzaferri et al. (2018c) = 8.10,Trilobatus trilobus,3,Spezzaferri et al. (2018c),1,Bicchi et al. (2003),Macro
Trilobatus trilobus,22.96,Living,Datum B Trilobatus trilobus (sensu lato) of Raffi et al. (2020) = 22.96,Chaisson and Pearson (1997) = 0.00,Trilobatus immaturus,3,Kennett and Srinivasan (1983),1,Keller (1985),Macro
